fragment, used, inprojects, sloc, usedsloc, percent,,
25366055_0.java,5,4,22,5,0.23,,
2067401_0.java,5,3,12,6,0.5,,
24102177_1.java,5,3,17,6,0.35,,
25321860_0.java,5,3,19,6,0.32,,
9792030_0.java,5,3,42,6,0.14,,
2372954_0.java,5,3,48,6,0.13,,
20493800_1.java,5,3,67,6,0.09,,
1204658_0.java,5,3,172,6,0.03,,
15834107_0.java,5,2,21,6,0.29,,
14983497_0.java,5,2,61,7,0.11,,
5764008_1.java,5,2,164,7,0.04,,
22987070_0.java,5,1,9,5,0.56,,
5309185_0.java,5,1,11,5,0.45,,
12728036_0.java,5,1,11,5,0.45,,
17175043_1.java,5,1,15,5,0.33,,
21620983_0.java,5,1,15,5,0.33,,
7047728_0.java,5,1,44,13,0.3,,
11368428_1.java,5,1,27,7,0.26,,
14634075_2.java,5,1,21,5,0.24,,
23344377_0.java,5,1,23,5,0.22,,
11937204_3.java,5,1,31,6,0.19,,
21620983_1.java,5,1,28,5,0.18,,
19298607_0.java,5,1,51,7,0.14,,
13293946_0.java,5,1,49,5,0.1,,
12640454_0.java,5,1,58,5,0.09,,
13219118_0.java,5,1,85,7,0.08,,
12913121_0.java,5,1,62,5,0.08,,
13587740_0.java,5,1,69,5,0.07,,
15421552_0.java,5,1,71,5,0.07,,
12943487_0.java,5,1,74,5,0.07,,
3911987_0.java,5,1,133,7,0.05,,
12301173_0.java,5,1,100,5,0.05,,
12604600_0.java,5,1,115,5,0.04,,
13505913_0.java,5,1,157,6,0.04,,
14941808_0.java,5,1,209,5,0.02,,
10883946_0.java,5,1,211,5,0.02,,
24013939_0.java,4,4,12,9,0.75,,
15209900_0.java,4,4,14,5,0.36,,
23376059_0.java,4,4,98,5,0.05,,
24231072_3.java,4,4,146,7,0.05,,
21761537_0.java,4,3,29,7,0.24,,
23291118_1.java,4,2,35,10,0.29,,
19459023_0.java,4,2,18,5,0.28,,
15959072_0.java,4,2,32,8,0.25,,
18013191_3.java,4,2,53,10,0.19,,
12486929_0.java,4,2,96,10,0.1,,
19153957_0.java,4,2,89,7,0.08,,
14821842_1.java,4,1,16,10,0.63,,
21734562_0.java,4,1,70,10,0.14,,
17708273_0.java,4,1,58,8,0.14,,
8037824_0.java,4,1,42,5,0.12,,
14020074_0.java,4,1,125,11,0.09,,
6722760_1.java,4,1,57,5,0.09,,
9549009_0.java,4,1,72,6,0.08,,
13247649_0.java,4,1,106,8,0.08,,
21998949_0.java,4,1,90,6,0.07,,
22143333_0.java,4,1,176,7,0.04,,
18970642_3.java,4,1,185,6,0.03,,
15521421_0.java,4,1,202,6,0.03,,
16246659_0.java,3,3,13,7,0.54,,
11296702_0.java,3,3,14,7,0.5,,
20616132_0.java,3,3,14,7,0.5,,
13003973_0.java,3,3,14,7,0.5,,
19433968_0.java,3,3,16,7,0.44,,
16411972_0.java,3,3,15,6,0.4,,
20817825_0.java,3,3,18,6,0.33,,
12711403_5.java,3,3,25,7,0.28,,
10353664_1.java,3,3,23,6,0.26,,
16447052_0.java,3,3,32,7,0.22,,
12381574_0.java,3,3,51,10,0.2,,
19492512_0.java,3,3,49,7,0.14,,
20968539_2.java,3,3,56,7,0.13,,
21478546_0.java,3,3,60,7,0.12,,
23144266_0.java,3,3,55,6,0.11,,
18928222_0.java,3,3,103,7,0.07,,
22160470_1.java,3,3,301,10,0.03,,
6121298_0.java,3,2,22,9,0.41,,
17966859_0.java,3,2,19,5,0.26,,
8836350_0.java,3,2,19,5,0.26,,
20793662_0.java,3,2,47,10,0.21,,
14002290_0.java,3,2,33,6,0.18,,
1514773_0.java,3,2,73,10,0.14,,
14505129_0.java,3,2,74,10,0.14,,
11239674_1.java,3,2,93,10,0.11,,
