fragment, used, inprojects, sloc, usedsloc, percent,
7211514_0.java,3,2,135,6,0.04,
25423980_0.java,60,55,126,6,0.05,
24430415_0.java,60,55,119,6,0.05,
13731734_0.java,1,1,112,6,0.05,
22674477_0.java,1,1,106,6,0.06,
15408066_0.java,6,5,96,6,0.06,
12852742_0.java,21,1,95,6,0.06,
21998949_0.java,4,1,90,6,0.07,
3378450_0.java,62,55,81,6,0.07,
20690969_0.java,1,1,81,6,0.07,
19856538_0.java,219,23,73,6,0.08,
13389700_2.java,61,56,72,6,0.08,
9549009_0.java,4,3,72,6,0.08,
1805151_0.java,1,1,71,6,0.08,
17979690_0.java,1,1,71,6,0.08,
20493800_1.java,5,5,67,6,0.09,
18223701_0.java,5,5,62,6,0.10,
23877939_1.java,1,1,56,6,0.11,
24824472_5.java,1,1,56,6,0.11,
23144266_0.java,3,3,55,6,0.11,
25465723_0.java,6,5,54,6,0.11,
18934994_1.java,1,1,54,6,0.11,
9657759_1.java,60,55,53,6,0.11,
20102983_0.java,1,1,53,6,0.11,
21749977_1.java,6,5,50,6,0.12,
2372954_0.java,5,5,48,6,0.13,
22009796_0.java,60,55,47,6,0.13,
11209077_0.java,60,55,46,6,0.13,
24686880_0.java,1,1,46,6,0.13,
23634030_0.java,62,55,44,6,0.14,
7838936_0.java,60,55,43,6,0.14,
25424476_1.java,61,55,42,6,0.14,
9792030_0.java,5,5,42,6,0.14,
25624267_0.java,7,7,41,6,0.15,
18013191_1.java,34,19,40,6,0.15,
24777272_0.java,2,2,39,6,0.15,
25655970_0.java,6,5,35,6,0.17,
11608885_0.java,1,1,35,6,0.17,
7402814_0.java,1,1,34,6,0.18,
14002290_0.java,3,2,33,6,0.18,
5730232_0.java,60,55,32,6,0.19,
4161761_0.java,105,100,31,6,0.19,
6931385_0.java,6,6,31,6,0.19,
11937204_3.java,5,4,31,6,0.19,
18502506_0.java,2,1,30,6,0.20,
7504040_3.java,1,1,28,6,0.21,
9993817_0.java,60,55,27,6,0.22,
17333568_0.java,1,1,26,6,0.23,
22876532_0.java,3,1,25,6,0.24,
4487541_0.java,2,2,25,6,0.24,
3137777_0.java,104,100,24,6,0.25,
21103067_0.java,6,5,24,6,0.25,
3384825_4.java,104,100,23,6,0.26,
10353664_1.java,3,3,23,6,0.26,
14173799_1.java,1,1,23,6,0.26,
12477263_0.java,1,1,23,6,0.26,
3384825_3.java,104,100,22,6,0.27,
14849596_0.java,6,5,22,6,0.27,
7504040_0.java,3,1,22,6,0.27,
6908216_0.java,1,1,22,6,0.27,
4903799_0.java,1,1,22,6,0.27,
15834107_0.java,5,5,21,6,0.29,
23586872_1.java,2,1,21,6,0.29,
8964820_0.java,1,1,21,6,0.29,
8965751_0.java,105,23,20,6,0.30,
23463899_0.java,6,5,20,6,0.30,
4001722_0.java,1,1,20,6,0.30,
22466372_0.java,1,1,20,6,0.30,
25321860_0.java,5,5,19,6,0.32,
20817825_0.java,3,3,18,6,0.33,
3137777_1.java,1,1,18,6,0.33,
9925895_0.java,1,1,18,6,0.33,
17015548_0.java,1,1,18,6,0.33,
16755253_0.java,1,1,18,6,0.33,
22733485_0.java,60,55,17,6,0.35,
24102177_1.java,5,5,17,6,0.35,
3537407_0.java,1,1,17,6,0.35,
8007983_1.java,1,1,16,6,0.38,
16411972_0.java,3,3,15,6,0.40,
4623777_0.java,2,1,15,6,0.40,
4771030_0.java,1,1,15,6,0.40,
7504040_2.java,1,1,15,6,0.40,
9242621_0.java,60,55,14,6,0.43,
3280700_1.java,1,1,13,6,0.46,
22309263_0.java,1,1,13,6,0.46,
7532965_0.java,1,1,13,6,0.46,
2067401_0.java,5,5,12,6,0.50,
16761944_0.java,1,1,12,6,0.50,
17297819_0.java,1,1,12,6,0.50,
24647708_1.java,6,3,11,6,0.55,
17739460_0.java,1,1,11,6,0.55,
8482425_0.java,2,1,9,6,0.67,
18545064_0.java,1,1,9,6,0.67,
14080238_0.java,1,1,9,6,0.67,
5039178_3.java,1,1,8,6,0.75,
15429589_0.java,1,1,7,6,0.86,
6153182_1.java,1,1,502,5,0.01,
25544305_0.java,1,1,248,5,0.02,
5432641_0.java,1,1,214,5,0.02,
12936580_0.java,20,3,212,5,0.02,
10883946_0.java,5,5,211,5,0.02,
14941808_0.java,5,5,209,5,0.02,
23473251_1.java,1,1,207,5,0.02,
23744131_0.java,1,1,183,5,0.03,
22291914_1.java,21,20,180,5,0.03,
25683631_0.java,21,20,151,5,0.03,
9128840_0.java,2,2,144,5,0.03,
18671842_0.java,1,1,140,5,0.04,
10814214_1.java,26,20,126,5,0.04,
24066771_0.java,1,1,124,5,0.04,
20462607_0.java,21,20,116,5,0.04,
