SD,SE,ND,NE
2.6315789,33.33333333,23.52941176,28.57142857
2.3364486,33.33333333,5.633802817,37.5
78.5714286,17.85714286,8.602150538,21.05263158
21.7391304,50,43.75,36.36363636
4.029304,15.38461538,10.97560976,35.71428571
14.6341463,11.11111111,13.41463415,12.24489796
18.1818182,50,50,8
81.8181818,19.04761905,11.94029851,50
5.0632911,30.43478261,32.14285714,50
2.7131783,9.523809524,58.13953488,26.08695652
16.3934426,33.33333333,22.22222222,15.625
25.9259259,15.625,56.25,4.237288136
26.3157895,31.25,14.03508772,15.38461538
25.6410256,50,12.30769231,33.33333333
63.6363636,25,12.79069767,20
25,66.66666667,34.7826087,58.33333333
28.5714286,66.66666667,5.479452055,13.7254902
7.3529412,7.407407407,18,35
45.4545455,6.451612903,16.39344262,25
21.7391304,4,11.5942029,18.3908046
12.5,25,4.712041885,50
32.2580645,1.680672269,12.30769231,3.25203252
33.3333333,18.18181818,42.10526316,19.04761905
9.0909091,41.66666667,10.66666667,50
62.5,33.33333333,19.51219512,8.695652174
25.9259259,55.55555556,15.68627451,20
7.8947368,26.66666667,4.166666667,6.944444444
17.0731707,20,12.64367816,15.625
5.8333333,21.42857143,5.839416058,10
22.5,40,47.05882353,9.756097561
5.1094891,14.28571429,28.57142857,3.921568627
38.8888889,16.21621622,30,9.523809524
21.875,10.20408163,42.10526316,20.68965517
10.3773585,4.04040404,77.77777778,50
1.971831,33.33333333,26.19047619,16.66666667
53.8461538,40,10.22727273,33.33333333
82.3529412,38.46153846,16.92307692,17.85714286
27.7777778,4.87804878,76.92307692,6.779661017
78.5714286,5.714285714,35.48387097,8.571428571
75,28.57142857,5.839416058,30.76923077
71.4285714,26.31578947,18.42105263,66.66666667
6.097561,13.04347826,39.28571429,6.060606061
11.1111111,13.33333333,12.90322581,8.333333333
14.2857143,21.05263158,4.029304029,16.66666667
55.5555556,40,24.32432432,3.703703704
72.7272727,22.22222222,23.68421053,5.882352941
41.6666667,8.064516129,57.14285714,5.434782609
20.5882353,23.52941176,25.71428571,8.888888889
13.2075472,22.22222222,29.26829268,18.18181818
33.3333333,15.38461538,11.42857143,1.282051282
83.3333333,14.28571429,63.63636364,40
21.2121212,2.604166667,26.19047619,22.85714286
10.3092784,7.692307692,14.43298969,16.66666667
22.7272727,20.83333333,16.32653061,33.33333333
6.7669173,19.04761905,10.73825503,4.716981132
77.7777778,46.15384615,39.13043478,62.5
12.5,10,25,21.05263158
5.8823529,7.01754386,60,33.33333333
19.2307692,25,6.666666667,19.23076923
23.0769231,3.409090909,15.51724138,10.63829787
18.1818182,40,61.53846154,8.695652174
53.8461538,2.898550725,5.925925926,30.3030303
45.4545455,11.76470588,10.2189781,21.05263158
19.2307692,83.33333333,40,25
25,8.771929825,14.81481481,66.66666667
37.037037,17.24137931,27.5862069,18.91891892
18.1818182,38.46153846,46.875,26.66666667
6.3063063,29.41176471,6.197183099,6.666666667
7,10,13.33333333,21.875
10.9589041,57.14285714,15.94202899,57.14285714
37.037037,36.36363636,21.21212121,7.142857143
79.0322581,40,40.90909091,3.821656051
21.2765957,8.108108108,40,21.05263158
12.9032258,17.24137931,11.5942029,10.52631579
21.875,26.08695652,13.41463415,19.35483871
76.9230769,25,36.50793651,14.63414634
14.7058824,10.81081081,28.57142857,12.5
41.6666667,12.90322581,44.44444444,3.883495146
33.3333333,25,8.108108108,20
14,27.77777778,40,25
10.4166667,3.418803419,45,13.15789474
45.4545455,14.81481481,41.66666667,19.04761905
19.2307692,10.41666667,17.64705882,45.71428571
25,35.71428571,66.66666667,8.888888889
14.5454545,2.702702703,14.54545455,1.351351351
21.4285714,50,6.060606061,15.68627451
24.7058824,2.962962963,66.66666667,33.33333333
71.4285714,63.63636364,13.33333333,7.272727273
13.7931034,22.22222222,42.42424242,6.493506494
7.8740157,22.22222222,50,16
17.5,4.081632653,10.44776119,3.597122302
50,17.14285714,6.766917293,7.01754386
24.137931,57.14285714,72.72727273,6.382978723
50,31.57894737,34.7826087,35
43.4782609,71.42857143,17.77777778,8
85.7142857,33.33333333,21.62162162,2.614379085
25,19.04761905,63.63636364,7.594936709
34.4827586,57.14285714,21.21212121,16.66666667
35.7142857,38.46153846,15.38461538,62.5
11.9047619,16.12903226,11.45833333,15.90909091
17.6470588,14.81481481,39.39393939,8.888888889
75,45.45454545,7.142857143,55.55555556
62.5,5.555555556,36.36363636,10.71428571
23.3333333,66.66666667,40,20.68965517
62.5,19.04761905,13.43283582,28.57142857
55.5555556,50,63.15789474,7.01754386
10.7142857,11.76470588,26.66666667,66.66666667
2.3584906,19.04761905,14.47368421,11.76470588
50,6.666666667,28.57142857,27.77777778
4.3478261,25,29.16666667,2.010050251
93.75,23.52941176,47.05882353,14.81481481
5.0505051,62.5,34.21052632,7.547169811
6.3829787,13.33333333,25.49019608,9.090909091
87.5,11.86440678,10.12658228,15.625
20.5882353,3.539823009,13.79310345,23.07692308
37.037037,10.41666667,7.079646018,19.04761905
35.2941176,71.42857143,56.25,15.625
12.195122,31.25,14.03508772,2.427184466
10.1694915,22.22222222,13.04347826,9.523809524
31.25,22.22222222,25,19.23076923
20.5882353,45.45454545,16,21.42857143
10.4166667,13.15789474,20.51282051,66.66666667
6.6666667,15.38461538,42.10526316,23.52941176
4.6728972,40,62.90322581,5.555555556
16.6666667,26.66666667,31.42857143,22.22222222
20.8333333,57.14285714,4.968944099,3.361344538
4.7619048,75,33.33333333,16.98113208
25.862069,19.35483871,27.27272727,3.125
5.0505051,5.797101449,19.04761905,7.547169811
16.6666667,9.090909091,27.77777778,4.301075269
8.0645161,3.125,10,12.19512195
4.3209877,33.33333333,34.48275862,16.66666667
24.5901639,31.25,32.35294118,18.18181818
34.4827586,20,8.510638298,20
54.5454545,25,25,34.09090909
61.5384615,22.22222222,20.45454545,50
25.6410256,21.05263158,4.716981132,16.66666667
29.1666667,11.76470588,32.35294118,9.677419355
3.0837004,33.33333333,16,36.36363636
70,22.72727273,7.692307692,11.42857143
21.4285714,8,44,6.25
9.7222222,12.5,60,22.72727273
7.3684211,25,53.57142857,9.302325581
30,3.96039604,9.411764706,38.46153846
77.7777778,23.80952381,64.28571429,4.347826087
46.6666667,35.71428571,76.92307692,46.66666667
18.9189189,29.41176471,45,19.04761905
4.7619048,7.8125,18.3908046,19.04761905
13.2075472,40,14.49275362,20
5.0420168,57.14285714,72.72727273,7.575757576
25,11.11111111,8.943089431,8.510638298
26.0869565,8.695652174,61.53846154,6.666666667
22.7272727,55.55555556,32.14285714,12.24489796
31.25,17.94871795,14.1025641,20
12.2807018,19.23076923,4.419889503,16.66666667
90.9090909,40,11.76470588,23.33333333
14.2857143,60,9.803921569,8.333333333
6.4102564,5.063291139,16.66666667,11.32075472
21.7391304,40,19.04761905,9.638554217
5.1851852,17.85714286,42.85714286,9.090909091
26.0869565,9.259259259,34.28571429,8.695652174
4.3859649,75,28.125,4.347826087
38.4615385,17.39130435,14.44444444,2.941176471
14.7058824,12.90322581,11.42857143,41.66666667
66.6666667,17.85714286,9.473684211,4.8
26.9230769,10.66666667,18.84057971,16.66666667
29.1666667,83.33333333,44.44444444,10.52631579
33.3333333,54.54545455,69.23076923,5.714285714
86.6666667,50,14.54545455,37.03703704
17.9487179,15.625,12.5,3.289473684
27.7777778,15.38461538,50,34.61538462
18.75,15.38461538,42.10526316,17.14285714
24.137931,11.62790698,5.797101449,26.66666667
23.8095238,33.33333333,14.86486486,60
24.3902439,20.83333333,4.635761589,13.51351351
20.5882353,55.55555556,56.25,8
77.7777778,29.41176471,22.85714286,30.43478261
25,57.14285714,12.30769231,2.580645161
3.0612245,7.936507937,12.85714286,20.83333333
25,8.771929825,35.71428571,7.547169811
21.875,23.80952381,8.163265306,13.33333333
35.7142857,38.46153846,10.52631579,7.843137255
40,50,16.66666667,40
47.6190476,62.5,5.479452055,5.263157895
27.027027,18.18181818,9.565217391,33.33333333
11.2903226,13.04347826,44.11764706,7.843137255
70,25,30.3030303,33.33333333
38.0952381,75,12.12121212,5.714285714
23.3333333,10,15.78947368,20
26.6666667,55.55555556,23.07692308,11.66666667
26.3157895,11.11111111,20.51282051,7.272727273
56.25,33.33333333,76.47058824,15.78947368
75,60,9.302325581,28.57142857
58.3333333,57.14285714,15.94202899,57.14285714
46.1538462,8.695652174,11.36363636,7.142857143
43.75,33.33333333,35.48387097,2.105263158
35,6.153846154,26.66666667,8.695652174
6.6666667,40,21.05263158,20.68965517
9.0909091,41.66666667,5.741626794,62.5
41.6666667,28.57142857,17.64705882,33.33333333
50,9.433962264,15.78947368,4.12371134
43.4782609,30.76923077,9.782608696,57.14285714
81.8181818,44.44444444,13.75,38.46153846
33.3333333,10.16949153,66.66666667,25
75,36.36363636,22.22222222,8.641975309
33.3333333,21.05263158,52.94117647,13.79310345
22.6666667,25.92592593,12.5,17.14285714
4.6391753,22.22222222,8.888888889,7.352941176
15.625,29.41176471,72.72727273,3.96039604
16.1290323,10,57.14285714,7.272727273
5.7553957,43.75,25.80645161,9.638554217
11.1111111,31.25,16.12903226,38.46153846
66.6666667,50,38.0952381,8.450704225
71.4285714,12,7.142857143,26.66666667
91.6666667,25,5.198019802,10.81081081
7.3684211,62.5,48.27586207,6.741573034
14.2857143,50,3.827751196,12.90322581
14.7058824,5.714285714,25,7.142857143
71.4285714,8.163265306,11.32075472,37.5
47.3684211,66.66666667,28.57142857,7.865168539
36.3636364,23.52941176,20.96774194,18.18181818
50,20,8.024691358,10.81081081
12.987013,16.66666667,42.10526316,23.52941176
7.1428571,35,2.941176471,7.352941176
5.3030303,41.66666667,34.7826087,53.84615385
4.0201005,23.52941176,44.44444444,13.79310345
3.3980583,44.44444444,25,16.66666667
91.6666667,16,19.04761905,38.46153846
19.2307692,10.81081081,33.33333333,4.494382022
2.3923445,23.52941176,14.03508772,8.333333333
83.3333333,85.71428571,52.38095238,33.33333333
4.6728972,44.44444444,50,36.36363636
35.2941176,44.44444444,4.405286344,57.14285714
50,55.55555556,53.33333333,10.86956522
26.3157895,26.31578947,47.05882353,50
43.4782609,6.557377049,11.5942029,7.936507937
15.2173913,3.571428571,28.94736842,3.053435115
6.7669173,3.50877193,63.63636364,35.71428571
26.3157895,16.32653061,19.51219512,12.5
18.8679245,10,22.22222222,50
77.7777778,8.510638298,18.75,57.14285714
77.7777778,8.196721311,18.94736842,42.10526316
4.8951049,21.73913043,35,50
6.0869565,10.52631579,4.294478528,13.33333333
10.7526882,35,7.303370787,7.52688172
6.25,14.70588235,28.125,40
58.8235294,19.04761905,6.748466258,57.14285714
81.8181818,10.63829787,32.14285714,1.646090535
58.3333333,33.33333333,8.421052632,9.302325581
15.5555556,6.034482759,12.90322581,20
76.4705882,55.55555556,14.28571429,40
34.6153846,55.55555556,24.32432432,38.46153846
9.7222222,36.36363636,20.51282051,34.28571429
58.8235294,36.36363636,23.07692308,20
35,54.54545455,45.61403509,52.38095238
11.3636364,18.18181818,3.149606299,24.32432432
