fragment, used, inprojects, sloc, usedsloc, percent,
7270257_0.java,209381,4851,11,4,0.363636364,
2299813_0.java,209381,4851,9,4,0.444444444,
3690807_0.java,201645,8513,203,6,0.02955665,
24533139_0.java,201030,3925,57,6,0.105263158,
22731657_0.java,195826,3917,46,6,0.130434783,
23272461_4.java,194244,3700,30,6,0.2,
25717155_0.java,193397,5800,93,4,0.043010753,
20025309_0.java,190710,5249,54,6,0.111111111,
18730847_1.java,185317,8568,62,6,0.096774194,
20065229_1.java,184525,3569,37,6,0.162162162,
19625147_2.java,184313,3536,18,6,0.333333333,
16503253_0.java,183674,8524,185,6,0.032432432,
16070512_0.java,182419,10088,106,6,0.056603774,
20666534_2.java,179869,5952,32,4,0.125,
25540788_0.java,178539,8003,77,6,0.077922078,
15860892_0.java,177423,8321,244,6,0.024590164,
9845277_0.java,175539,792,91,4,0.043956044,
19853577_1.java,170511,5804,350,4,0.011428571,
18251060_0.java,170366,8075,59,6,0.101694915,
9609505_0.java,169613,5678,40,4,0.1,
24968711_0.java,168540,4646,693,6,0.008658009,
12279255_5.java,168430,10815,45,6,0.133333333,
21158198_2.java,166884,5522,77,4,0.051948052,
24478153_0.java,166288,5254,85,4,0.047058824,
4931148_0.java,164935,5495,32,4,0.125,
19533796_3.java,161330,4943,60,6,0.1,
5830353_0.java,158858,8523,335,4,0.011940299,
13027721_0.java,157878,5469,18,4,0.222222222,
11739863_1.java,157566,4137,32,4,0.125,
14700353_1.java,157566,4137,33,4,0.121212121,
24831455_0.java,157520,5648,56,4,0.071428571,
22469837_0.java,157381,5988,19,4,0.210526316,
628784_0.java,156972,8715,92,6,0.065217391,
5486677_1.java,156603,4087,28,4,0.142857143,
15248123_2.java,156603,4087,28,4,0.142857143,
23760965_0.java,156221,3987,37,4,0.108108108,
24444791_0.java,156203,3976,28,4,0.142857143,
14926602_1.java,156203,3976,28,4,0.142857143,
15097795_3.java,156203,3976,28,4,0.142857143,
24414041_0.java,156203,3976,29,4,0.137931034,
5441529_0.java,156203,3976,28,4,0.142857143,
19294697_2.java,156203,3976,28,4,0.142857143,
23922830_0.java,156203,3976,28,4,0.142857143,
13300092_0.java,155981,5545,209,4,0.019138756,
11926503_0.java,155739,5655,44,4,0.090909091,
9549258_0.java,155712,4026,220,6,0.027272727,
20685936_0.java,155605,3980,33,6,0.181818182,
13930986_0.java,155264,3963,33,6,0.181818182,
22010866_1.java,155143,3995,39,6,0.153846154,
11045185_0.java,154932,3893,66,6,0.090909091,
16337816_0.java,154932,3893,36,6,0.166666667,
9128840_0.java,154509,5263,144,4,0.027777778,
20305524_2.java,154331,4214,158,5,0.03164557,
20829961_0.java,154251,3824,56,6,0.107142857,
14073238_0.java,154247,5917,53,6,0.113207547,
24219039_0.java,154241,3819,30,6,0.2,
22735160_0.java,154241,3819,28,6,0.214285714,
20583966_0.java,154198,5485,102,4,0.039215686,
11038888_1.java,153960,4009,61,6,0.098360656,
19552153_0.java,153817,5363,17,4,0.235294118,
20361981_0.java,153745,3848,33,6,0.181818182,
23274259_1.java,153639,5450,379,4,0.01055409,
13996949_2.java,153630,3747,31,6,0.193548387,
16250709_0.java,153580,5306,129,4,0.031007752,
21280326_0.java,153578,5104,182,4,0.021978022,
10211953_0.java,153569,3730,29,6,0.206896552,
189834_0.java,153553,5317,13,4,0.307692308,
18037704_0.java,153513,5304,95,4,0.042105263,
8382030_1.java,153482,5343,51,4,0.078431373,
22306042_0.java,153431,5300,13,4,0.307692308,
12701842_3.java,153430,5300,9,4,0.444444444,
13512962_2.java,153430,5300,10,4,0.4,
21161594_1.java,153405,3626,65,6,0.092307692,
15787780_2.java,153403,3624,32,6,0.1875,
23419064_0.java,153367,5223,247,4,0.016194332,
