fragment, used, inprojects, sloc, usedsloc, percent
20063373_0.java,7,7,49,9,0.1836734693877551
20163638_0.java,8,8,42,6,0.14285714285714285
15223913_0.java,409,232,30,4,0.13333333333333333
3601749_1.java,3,3,53,4,0.07547169811320754
3006442_2.java,175,172,55,4,0.07272727272727272
9232355_0.java,2,2,9,5,0.5555555555555556
10660299_0.java,7,7,92,5,0.05434782608695652
19256647_0.java,1,1,6,4,0.6666666666666666
10292061_0.java,1,1,6,4,0.6666666666666666
25446721_1.java,53481,4851,9,4,0.4444444444444444
9473205_0.java,1,1,8,4,0.5
25322732_0.java,1349,1095,30,6,0.2
24638963_0.java,28,28,105,4,0.0380952380952381
8518670_1.java,3,3,13,6,0.46153846153846156
16630934_0.java,2862,1607,152,5,0.03289473684210526
14422030_1.java,4,4,10,4,0.4
18942511_0.java,2,2,12,4,0.3333333333333333
16159975_0.java,7,4,11,4,0.36363636363636365
22768852_0.java,15,13,61,4,0.06557377049180328
12940985_2.java,1,1,10,4,0.4
21879339_1.java,4,4,25,4,0.16
2284890_0.java,1,1,10,5,0.5
24911299_0.java,15,14,15,4,0.26666666666666666
11339094_0.java,295,165,75,5,0.06666666666666667
17845954_0.java,8,7,155,4,0.025806451612903226
14881672_0.java,214,181,10,4,0.4
20095656_1.java,29,15,10,7,0.7
21875166_0.java,1,1,41,4,0.0975609756097561
7009977_1.java,6,4,12,4,0.3333333333333333
21840522_0.java,2416,1877,15,4,0.26666666666666666
8361801_0.java,78,56,6,5,0.8333333333333334
16025313_0.java,65,43,76,4,0.05263157894736842
14559178_0.java,1,1,6,4,0.6666666666666666
1379695_0.java,1,1,51,4,0.0784313725490196
13247976_2.java,3,3,20,5,0.25
12191733_0.java,3,3,32,4,0.125
21165446_3.java,359,130,18,5,0.2777777777777778
20413759_1.java,36,33,89,5,0.056179775280898875
3572728_0.java,3,3,29,4,0.13793103448275862
24735557_0.java,8,8,13,4,0.3076923076923077
13113547_1.java,1,1,70,5,0.07142857142857142
6500478_0.java,16,16,60,4,0.06666666666666667
5405067_0.java,1,1,15,7,0.4666666666666667
16142564_0.java,956,450,55,5,0.09090909090909091
12671381_0.java,32,20,38,4,0.10526315789473684
9596183_3.java,2,1,26,4,0.15384615384615385
24902176_0.java,1,1,47,5,0.10638297872340426
4914063_0.java,60,46,84,6,0.07142857142857142
6448047_0.java,210,185,36,7,0.19444444444444445
7317042_0.java,3,3,42,5,0.11904761904761904
2726224_1.java,59,58,9,4,0.4444444444444444
13417932_1.java,107,90,15,6,0.4
13493330_1.java,106,99,97,6,0.061855670103092786
