SD,SE,ND,NE
10,5,8,5
10,4,8,4
7,5,11,7
6,6,9,4
5,4,8,9
5,5,8,9
7,4,11,5
6,5,11,4
10,5,16,6
5,4,8,4
5,5,8,6
6,4,10,7
6,5,8,4
10,4,8,6
10,6,8,4
10,5,8,4
7,5,8,5
5,5,8,6
5,5,11,4
10,9,10,5
19,4,8,6
10,6,11,4
6,6,8,4
11,4,10,6
6,4,11,4
7,4,8,6
7,4,9,4
7,5,8,4
8,4,19,5
7,4,11,4
21,17,8,4
7,5,10,5
6,5,8,8
8,4,11,7
6,4,8,4
10,5,9,5
5,4,8,4
10,8,12,6
8,7,8,6
10,4,8,4
6,4,15,8
16,5,9,8
10,6,12,4
18,4,15,4
6,5,10,4
5,4,10,4
10,7,10,4
5,5,8,5
7,5,7,6
7,5,11,6
7,5,8,4
10,4,8,4
8,5,8,6
10,4,8,9
5,4,8,4
5,5,8,6
7,4,10,4
5,5,15,8
6,5,8,7
6,4,11,8
7,4,8,4
10,5,8,7
10,4,9,4
5,5,9,4
8,4,18,4
7,4,11,4
7,4,8,9
10,4,8,4
10,4,11,6
7,4,8,9
6,4,10,9
7,4,8,5
7,4,9,7
7,4,9,6
10,7,8,5
8,5,9,8
16,4,8,5
6,4,22,5
10,4,9,5
5,4,8,13
5,4,8,5
7,5,8,4
7,4,10,5
6,5,15,6
10,4,8,6
10,4,8,4
5,4,8,6
7,4,8,4
7,4,12,5
14,4,46,6
9,4,8,4
7,5,8,6
7,4,9,5
9,5,9,4
11,6,10,5
5,4,9,6
7,6,9,4
5,5,10,8
7,4,9,4
14,6,8,5
5,4,19,4
5,4,11,4
11,4,10,4
7,5,9,5
,4,15,4
,4,8,6
,4,8,4
,4,8,4
,4,8,5
,4,8,6
,4,8,4
,5,9,6
,5,11,8
,4,8,4
,5,8,8
,7,8,5
,4,9,5
,4,8,5
,4,9,4
,5,9,4
,5,12,4
,5,8,10
,5,8,6
,4,8,8
,4,9,4
,4,8,7
,6,8,6
,5,14,5
,4,8,10
,4,10,4
,4,8,5
,4,9,6
,6,9,5
,4,8,6
,5,9,4
,4,8,4
,5,8,4
,4,8,4
,4,9,4
,4,10,4
,7,11,8
,4,8,5
,5,7,5
,4,8,4
,4,10,5
,4,10,5
,5,12,5
,4,14,4
,6,8,6
,5,9,4
,6,10,5
,4,12,4
,7,12,4
,4,8,5
,5,8,5
,4,8,7
,4,9,7
,4,26,5
,4,8,5
,4,11,6
,6,8,5
,6,8,5
,4,8,6
,5,8,6
,4,8,4
,5,9,8
,4,8,5
,5,8,5
,6,8,4
,6,13,4
,5,17,4
,5,8,5
,6,9,4
,4,8,5
,4,8,7
,4,8,4
,4,8,9
,5,24,4
,6,8,4
,4,8,15
,4,10,4
,4,14,6
,4,8,7
,4,8,5
,6,10,4
,5,12,7
,4,11,4
,4,10,4
,6,8,5
,5,8,6
,7,11,4
,4,8,4
,5,8,4
,4,10,6
,6,8,6
,4,9,4
,4,9,4
,5,8,4
,5,8,5
,4,8,6
,5,15,4
,4,8,7
,4,7,7
,5,8,8
,4,8,5
,4,8,6
,5,15,8
,6,8,20
,6,8,6
,5,8,6
,4,16,4
,4,8,4
,5,8,4
,4,15,8
,4,8,7
,4,12,7
,4,8,7
,5,10,6
,5,10,4
,4,11,4
,4,8,8
,4,14,8
,7,8,4
,4,7,4
,5,8,8
,4,8,4
,4,9,4
,6,18,6
,5,11,5
,5,10,4
,5,8,5
,5,17,4
,4,8,7
,5,12,4
,4,8,4
,5,11,4
,4,8,4
,4,10,4
,5,9,7
,4,8,5
,5,8,6
,4,8,5
,4,7,4
,4,14,4
,4,18,4
,6,9,5
,6,8,6
,4,8,6
,5,8,6
,5,9,4
,4,8,5
,5,8,7
,7,15,8
,4,19,6
,4,8,7
,6,8,5
,5,8,4
,4,8,4
,6,8,4
,5,8,7
,6,8,4
,6,8,5
,5,11,4
,4,8,5
,7,8,4
,4,9,5
,5,8,6
,4,11,4
,6,8,8
,4,9,4
,7,8,8
,4,9,4
,4,8,6
,4,8,4
,5,11,5
,4,9,6
,4,8,6
,7,9,8
,4,9,9
,6,8,7
,4,12,7
,5,8,7
,4,9,4
,5,10,7
,4,11,4
,5,8,7
,4,8,4
,18,8,7
,6,9,4
,5,15,4
,4,9,4
,5,8,4
,6,18,7
,4,8,6
,4,8,6
,4,11,4
,4,10,5
,8,8,4
,4,8,4
,5,12,5
,4,8,4
,5,11,6
,4,8,6
,4,8,4
,4,8,4
,4,7,5
,4,8,5
,4,9,4
,4,8,6
,5,8,4
,4,9,5
,4,10,5
,6,8,6
,4,8,4
,4,10,5
,4,11,2
,4,8,5
,5,10,7
,4,8,5
,4,8,6
,5,8,4
,4,8,4
,4,8,7
,5,10,6
,4,8,5
,4,9,5
,4,10,6
,4,12,5
,4,8,5
,4,9,5
,6,8,7
,4,9,8
,6,10,7
,4,8,5
,5,8,4
,5,10,5
,5,50,5
,6,12,4
,4,9,8
,4,8,6
,5,15,5
,5,8,6
,6,8,4
,5,8,4
,4,8,7
,4,9,4
,4,8,4
,4,8,5
,4,8,5
,5,11,4
,4,8,4
,4,10,4
,4,8,5
,6,9,4
,6,10,4
,5,8,4
,5,9,5
,5,12,6
,5,13,4
,4,8,4
,4,8,4
,4,8,5
,6,11,4
,5,8,6
,4,11,7
,4,8,7
,5,9,7
,4,9,4
,5,9,8
,6,9,4
,6,8,11
,4,11,4
,4,10,6
,8,15,7
,4,8,6
,4,8,4
,5,8,6
,4,8,6
,4,10,4
,4,8,5
,4,8,6
,6,8,5
,5,8,6
,4,9,6
,4,8,6
,5,9,6
,6,26,4
,4,8,5
,4,8,6
,4,8,5
,4,9,4
,4,8,6
,4,9,4
,4,54,4
,5,18,4
,4,8,8
,5,8,5
,4,10,4
,4,16,5
,5,8,4
,4,8,4
,5,10,4
,4,8,4
,5,14,4
,4,9,11
,5,8,4
